couple_id,bonding_index,conflict_index,divorced_reference,age_partner_a,age_partner_b,age_diff_abs,education,monthly_income_eur,married,cohabiting,has_children,n_children,shared_activities_per_month,time_years,event
C0070,3.8,2.588235294117647,1,32.5,30.6,1.9,Hauptschule,2057.0,1,1,0,0,3,15.0,0
C0071,2.65,3.264705882352941,1,23.8,20.7,3.1,Abitur,2360.0,0,0,0,0,2,7.72,1
C0072,2.15,3.4411764705882355,1,24.9,24.6,0.3,Hochschule,3914.0,1,1,0,0,5,15.0,0
C0073,2.8,3.0,1,26.6,20.5,6.2,Realschule,1527.0,1,1,1,2,1,0.38,1
C0074,2.95,2.8823529411764706,1,38.0,32.8,5.1,Hochschule,4602.0,1,1,1,1,11,15.0,0
C0075,2.4,3.1470588235294117,1,35.1,42.6,7.5,Hauptschule,2649.0,0,1,1,2,7,4.16,1
C0076,3.55,2.3529411764705883,1,39.5,35.0,4.5,Hochschule,3648.0,1,1,0,0,6,0.86,1
C0077,2.8,2.3529411764705883,1,30.6,26.7,3.8,Hochschule,4018.0,1,1,0,0,3,15.0,0
C0078,2.3,2.6176470588235294,1,35.3,41.7,6.4,Hochschule,2354.0,0,1,1,3,7,0.65,1
C0079,2.75,2.323529411764706,1,39.0,49.2,10.2,Abitur,2206.0,1,1,0,0,5,11.05,1
C0080,2.4,2.5,1,31.5,27.4,4.1,Hochschule,3624.0,1,1,1,2,9,12.41,1
C0081,2.65,2.235294117647059,1,37.7,36.4,1.3,Hauptschule,1257.0,0,1,1,2,5,10.94,1
C0082,3.2,2.9411764705882355,1,28.7,29.9,1.2,Realschule,2829.0,1,1,0,0,5,13.01,1
C0083,3.4,2.264705882352941,1,31.1,37.1,6.1,Hauptschule,3098.0,1,1,1,5,6,3.05,1
C0084,2.1,2.1176470588235294,1,30.9,27.5,3.5,Abitur,2194.0,1,1,0,0,5,15.0,0
C0085,0.1,0.17647058823529413,0,24.4,23.6,0.9,Hochschule,3298.0,1,1,0,0,6,0.34,1
C0086,0.0,0.3235294117647059,0,37.9,40.6,2.7,Abitur,3041.0,1,1,1,1,8,15.0,0
C0087,0.0,0.38235294117647056,0,30.2,31.8,1.5,Hochschule,4767.0,1,1,1,1,2,10.93,1
C0088,0.05,0.35294117647058826,0,34.1,32.8,1.3,Realschule,1667.0,0,1,1,3,7,1.41,1
C0089,0.55,0.11764705882352941,0,37.8,37.4,0.5,Hochschule,3949.0,1,1,1,1,4,15.0,0
C0090,0.0,0.4411764705882353,0,37.6,32.8,4.8,Realschule,3493.0,1,1,1,1,4,2.64,1
C0091,0.15,0.38235294117647056,0,39.3,38.5,0.8,Realschule,1409.0,0,1,1,1,11,15.0,0
C0092,0.0,0.5,0,33.2,32.3,0.9,Hochschule,3031.0,1,1,1,1,6,10.78,1
C0093,0.2,0.5294117647058824,0,30.6,31.4,0.8,Hochschule,3546.0,0,0,0,0,9,15.0,0
C0094,0.2,0.5294117647058824,0,33.4,31.4,1.9,Abitur,2588.0,0,0,1,1,6,11.05,1
C0095,0.05,0.6176470588235294,0,20.5,22.2,1.7,Hauptschule,2388.0,0,1,1,1,5,6.62,1
C0096,0.05,0.6470588235294118,0,22.4,26.0,3.5,Abitur,3045.0,0,1,0,0,6,8.67,1
C0097,0.4,0.4411764705882353,0,23.4,24.0,0.5,Hauptschule,835.0,0,1,1,3,2,15.0,0
C0098,0.0,0.6764705882352942,0,26.0,27.3,1.2,Hochschule,4109.0,0,0,0,0,9,15.0,0
C0099,0.15,0.5882352941176471,0,37.2,37.4,0.2,Hochschule,3453.0,1,1,0,0,5,4.8,1
C0100,0.4,0.4411764705882353,0,26.8,26.8,0.0,Realschule,3165.0,1,1,1,1,5,15.0,0
C0101,0.1,0.6470588235294118,0,31.0,28.4,2.5,Hauptschule,1523.0,1,1,0,0,2,4.27,1
C0102,0.1,0.6470588235294118,0,44.4,45.5,1.1,Realschule,2018.0,0,0,1,3,6,0.07,1
C0103,0.0,0.7058823529411765,0,31.1,30.8,0.3,Hochschule,4125.0,1,1,1,1,7,15.0,0
C0104,0.0,0.7352941176470589,0,39.9,47.2,7.3,Abitur,3358.0,1,1,1,2,2,15.0,0
C0105,0.25,0.5882352941176471,0,26.5,32.0,5.5,Hochschule,4069.0,0,0,0,0,6,5.68,1
C0106,0.2,0.6470588235294118,0,32.4,33.7,1.4,Abitur,1889.0,0,1,0,0,1,14.72,1
C0107,0.0,0.7941176470588235,0,26.4,23.7,2.7,Abitur,3223.0,1,1,1,1,8,13.66,1
C0108,0.1,0.7352941176470589,0,31.3,27.4,3.9,Hauptschule,1279.0,0,1,1,1,6,5.15,1
C0109,0.45,0.5588235294117647,0,40.7,44.9,4.2,Hochschule,3941.0,1,1,1,2,6,14.37,1
C0110,0.1,0.7941176470588235,0,20.2,21.1,0.9,Realschule,1546.0,1,1,1,3,6,15.0,0
C0111,0.1,0.7941176470588235,0,37.5,39.2,1.7,Abitur,3168.0,0,1,0,0,2,3.81,1
C0112,0.45,0.5882352941176471,0,35.9,29.8,6.1,Abitur,2416.0,0,1,1,1,3,5.79,1
C0113,0.15,0.7647058823529411,0,29.2,32.5,3.2,Abitur,2130.0,1,1,0,0,5,15.0,0
C0114,0.5,0.5588235294117647,0,22.4,24.0,1.6,Hochschule,4228.0,1,1,0,0,5,13.53,1
C0115,0.45,0.6176470588235294,0,34.6,30.7,3.9,Hauptschule,2045.0,0,0,1,1,10,4.22,1
C0116,0.15,0.7941176470588235,0,29.8,28.1,1.7,Abitur,2532.0,1,1,0,0,6,7.64,1
C0117,0.25,0.7352941176470589,0,35.9,36.8,0.9,Realschule,3271.0,1,1,0,0,3,11.1,1
C0118,0.25,0.7352941176470589,0,34.2,34.4,0.2,Abitur,2636.0,1,1,0,0,5,15.0,0
C0119,0.25,0.7352941176470589,0,46.8,45.8,1.0,Hauptschule,1919.0,1,1,0,0,13,15.0,0
C0120,0.35,0.6764705882352942,0,32.1,31.7,0.4,Hauptschule,2061.0,0,1,1,2,4,15.0,0
C0121,0.3,0.7058823529411765,0,25.8,24.9,0.9,Realschule,2028.0,0,1,0,0,10,15.0,0
C0122,0.5,0.5882352941176471,0,35.4,36.0,0.5,Realschule,2683.0,1,1,1,1,6,1.16,1
C0123,0.15,0.8235294117647058,0,35.8,40.9,5.2,Realschule,2080.0,0,1,1,3,10,15.0,0
C0124,0.2,0.7941176470588235,0,44.9,35.9,9.0,Abitur,2653.0,1,1,0,0,5,2.72,1
C0125,0.3,0.7352941176470589,0,40.7,39.9,0.8,Abitur,3718.0,1,1,0,0,6,15.0,0
C0126,0.0,0.9117647058823529,0,36.9,37.5,0.6,Realschule,1776.0,0,1,1,1,8,15.0,0
C0127,0.0,0.9117647058823529,0,45.7,46.7,1.0,Realschule,952.0,1,1,1,1,6,13.46,1
C0128,0.0,0.9117647058823529,0,24.5,23.2,1.3,Realschule,3367.0,0,0,1,3,7,15.0,0
C0129,0.0,0.9411764705882353,0,28.9,22.7,6.1,Abitur,4430.0,1,1,1,1,4,4.5,1
C0130,0.1,0.8823529411764706,0,26.6,27.7,1.1,Realschule,2157.0,0,0,0,0,6,1.06,1
C0131,0.15,0.8529411764705882,0,30.9,36.9,6.0,Hauptschule,800.0,1,1,0,0,8,2.47,1
C0132,0.15,0.8529411764705882,0,23.0,18.0,5.4,Realschule,2214.0,1,1,1,1,4,15.0,0
C0133,0.55,0.6176470588235294,0,39.1,42.1,3.0,Abitur,2728.0,1,1,0,0,6,6.23,1
C0134,0.25,0.7941176470588235,0,32.2,31.1,1.1,Realschule,2286.0,1,1,1,4,8,15.0,0
C0135,0.35,0.7352941176470589,0,22.2,22.0,0.2,Abitur,2232.0,1,1,1,1,3,3.02,1
C0136,0.0,0.9411764705882353,0,25.9,22.2,3.7,Abitur,3248.0,1,1,1,1,6,11.8,1
C0137,0.25,0.8235294117647058,0,36.5,35.3,1.2,Hochschule,4115.0,1,1,1,1,4,15.0,0
C0138,0.2,0.8529411764705882,0,40.7,45.3,4.6,Abitur,2003.0,1,1,0,0,9,15.0,0
C0139,0.2,0.8529411764705882,0,50.0,52.0,2.0,Abitur,3320.0,1,1,0,0,3,15.0,0
C0140,0.45,0.7058823529411765,0,57.3,63.4,6.1,Realschule,3632.0,1,1,0,0,7,15.0,0
C0141,0.15,0.8823529411764706,0,37.3,41.4,4.1,Hochschule,3903.0,0,1,1,1,4,1.95,1
C0142,0.6,0.6176470588235294,0,26.1,27.6,1.5,Abitur,2698.0,1,1,0,0,7,7.03,1
C0143,0.75,0.5294117647058824,0,18.0,24.1,6.1,Realschule,2315.0,1,1,0,0,9,1.54,1
C0144,0.5,0.7058823529411765,0,36.1,37.7,1.5,Abitur,3269.0,1,1,0,0,11,15.0,0
C0145,0.5,0.7058823529411765,0,27.5,30.4,2.9,Realschule,1362.0,0,0,0,0,5,5.69,1
C0146,0.0,1.0,0,30.7,29.6,1.0,Abitur,2999.0,1,1,1,1,7,15.0,0
C0147,0.45,0.7352941176470589,0,29.1,29.3,0.2,Hochschule,3566.0,1,1,0,0,14,15.0,0
C0148,0.1,0.9411764705882353,0,32.9,30.4,2.4,Hochschule,4909.0,1,1,1,3,5,15.0,0
C0149,0.2,0.9117647058823529,0,42.5,46.0,3.5,Hochschule,3695.0,0,0,0,0,6,12.15,1
C0150,0.1,1.0,0,35.3,31.1,4.1,Abitur,3901.0,1,1,1,5,9,14.27,1
C0151,0.25,0.9117647058823529,0,32.7,35.5,2.7,Abitur,2238.0,0,1,0,0,7,14.86,1
C0152,0.7,0.6470588235294118,0,25.7,25.0,0.7,Hochschule,4152.0,0,1,0,0,9,15.0,0
C0153,0.45,0.7941176470588235,0,20.6,24.7,4.1,Realschule,2592.0,1,1,1,1,10,13.58,1
C0154,0.95,0.5,0,30.1,32.7,2.6,Hochschule,3279.0,1,1,1,1,6,15.0,0
C0155,0.5,0.7647058823529411,0,33.6,39.9,6.4,Abitur,3006.0,0,1,1,1,4,1.51,1
C0156,0.6,0.7058823529411765,0,48.1,50.7,2.6,Hauptschule,2628.0,1,1,0,0,6,12.54,1
C0157,0.5,0.7647058823529411,0,35.0,29.5,5.5,Hauptschule,1706.0,1,1,0,0,2,2.58,1
C0158,0.3,0.9117647058823529,0,41.9,41.6,0.2,Hochschule,2785.0,1,1,1,2,5,10.49,1
C0159,0.4,0.8529411764705882,0,30.0,25.9,4.1,Hauptschule,1889.0,1,1,0,0,6,5.63,1
C0160,0.25,0.9411764705882353,0,24.5,22.7,1.8,Realschule,1859.0,1,1,1,2,5,6.95,1
C0161,0.5,0.7941176470588235,0,26.3,31.6,5.3,Realschule,2195.0,1,1,1,2,9,4.84,1
C0162,1.1,0.4411764705882353,0,28.2,30.4,2.2,Realschule,2351.0,1,1,1,1,4,13.86,1
C0163,0.1,1.0294117647058822,0,51.0,48.6,2.4,Realschule,1377.0,1,1,1,1,8,15.0,0
C0164,0.6,0.7352941176470589,0,27.4,23.9,3.5,Hochschule,2831.0,1,1,1,3,6,15.0,0
C0165,0.6,0.7352941176470589,0,40.7,40.8,0.1,Hauptschule,2189.0,0,1,0,0,5,7.41,1
C0166,0.0,1.1176470588235294,0,26.8,22.5,4.3,Hochschule,3486.0,1,1,0,0,10,15.0,0
C0167,0.0,1.1176470588235294,0,41.5,39.1,2.3,Hochschule,2261.0,1,1,1,1,6,15.0,0
C0168,0.35,0.9117647058823529,0,37.1,38.2,1.1,Realschule,2871.0,1,1,1,1,4,15.0,0
C0169,0.05,1.1176470588235294,0,32.7,36.8,4.0,Realschule,2563.0,0,1,0,0,3,4.08,1
C0170,0.25,1.0,0,33.7,35.8,2.1,Abitur,2472.0,0,0,0,0,4,12.41,1
