couple_id,bonding_index,conflict_index,divorced_reference,age_partner_a,age_partner_b,age_diff_abs,education_a,education_b,monthly_income_eur,married,cohabiting,has_children,n_children,shared_activities_per_month,education_a_ord,education_b_ord,education_avg_ord,satisfaction_index,time_years,event
C0028,2.95,3.735294117647059,1,36.9,35.5,1.4,Hochschule,Hochschule,4200.0,0,0,0,0,5,4,4,4.0,5.49,0.91,1
C0029,2.9,3.735294117647059,1,37.3,37.3,0.0,Hochschule,Hochschule,3211.0,1,1,0,0,5,4,4,4.0,4.83,12.85,1
C0030,2.9,3.735294117647059,1,37.4,36.9,0.6,Abitur,Hochschule,2485.0,1,1,1,1,6,3,4,3.5,4.92,3.31,1
C0031,2.9,3.735294117647059,1,51.1,52.3,1.2,Realschule,Realschule,2365.0,1,1,0,0,5,2,2,2.0,4.38,1.18,1
C0032,3.2,3.5294117647058822,1,30.7,35.7,4.9,Hochschule,Hochschule,3850.0,0,0,1,1,6,4,4,4.0,7.03,9.83,1
C0033,3.2,3.5294117647058822,1,29.9,30.2,0.3,Hochschule,Hochschule,3384.0,1,1,1,1,8,4,4,4.0,6.85,15.0,0
C0034,2.9,3.7058823529411766,1,27.5,29.7,2.3,Hochschule,Hochschule,4299.0,1,1,1,1,2,4,4,4.0,5.9,6.89,1
C0035,3.2,3.5294117647058822,1,38.9,31.8,7.2,Hauptschule,Hauptschule,1095.0,1,1,1,4,7,1,1,1.0,7.67,10.11,1
C0036,2.8,3.7058823529411766,1,43.0,42.9,0.2,Hochschule,Hochschule,3556.0,1,1,1,2,4,4,4,4.0,5.14,1.82,1
C0037,3.05,3.5294117647058822,1,33.1,30.1,3.0,Abitur,Abitur,2549.0,1,1,1,2,4,3,3,3.0,8.46,15.0,0
C0038,2.85,3.588235294117647,1,27.3,23.0,4.3,Hauptschule,Hauptschule,1872.0,1,1,0,0,11,1,1,1.0,5.26,13.3,1
C0039,2.85,3.588235294117647,1,27.4,24.3,3.1,Abitur,Hauptschule,2567.0,0,0,1,1,6,3,1,2.0,5.7,12.61,1
C0040,3.05,3.4705882352941178,1,39.2,38.0,1.2,Abitur,Abitur,2295.0,1,1,1,1,9,3,3,3.0,5.43,9.89,1
C0041,2.7,3.6470588235294117,1,39.9,43.2,3.2,Hauptschule,Hauptschule,2335.0,1,1,1,3,6,1,1,1.0,5.59,0.77,1
C0042,2.65,3.6470588235294117,1,38.3,33.7,4.6,Abitur,Abitur,2938.0,1,1,1,1,5,3,3,3.0,5.96,15.0,0
C0043,3.05,3.411764705882353,1,28.7,28.8,0.1,Hochschule,Realschule,1965.0,0,1,1,1,6,4,2,3.0,5.73,5.51,1
C0044,2.65,3.6470588235294117,1,35.9,34.2,1.7,Realschule,Realschule,1225.0,0,0,1,2,2,2,2,2.0,6.8,0.94,1
C0045,2.65,3.6470588235294117,1,34.9,33.8,1.1,Abitur,Abitur,2893.0,1,1,1,2,9,3,3,3.0,5.42,15.0,0
C0046,2.65,3.6470588235294117,1,35.7,39.3,3.5,Realschule,Realschule,2267.0,1,1,1,1,5,2,2,2.0,5.45,15.0,0
C0047,2.65,3.6470588235294117,1,41.0,42.9,1.9,Realschule,Realschule,2338.0,1,1,0,0,5,2,2,2.0,4.39,3.2,1
C0048,2.65,3.6470588235294117,1,35.8,40.5,4.7,Hochschule,Hauptschule,2833.0,1,1,0,0,2,4,1,2.5,5.58,3.33,1
C0049,2.65,3.6470588235294117,1,39.4,38.9,0.5,Hochschule,Hochschule,3935.0,1,1,0,0,6,4,4,4.0,5.08,15.0,0
C0050,2.65,3.6470588235294117,1,34.5,32.1,2.4,Hauptschule,Hauptschule,2469.0,1,1,0,0,7,1,1,1.0,4.66,2.23,1
C0051,2.65,3.6470588235294117,1,36.3,35.5,0.8,Hochschule,Abitur,2683.0,1,1,0,0,2,4,3,3.5,4.51,4.75,1
C0052,2.65,3.6176470588235294,1,39.1,39.9,0.8,Hochschule,Hochschule,3097.0,1,1,1,5,6,4,4,4.0,7.64,5.04,1
C0053,2.9,3.411764705882353,1,22.3,23.0,0.6,Realschule,Realschule,1744.0,1,1,0,0,1,2,2,2.0,5.44,1.65,1
C0054,2.95,3.3823529411764706,1,31.4,27.6,3.8,Hochschule,Hochschule,3973.0,0,0,1,1,8,4,4,4.0,4.45,3.37,1
C0055,2.9,3.3823529411764706,1,30.2,30.6,0.3,Hauptschule,Hochschule,3597.0,1,1,1,1,6,1,4,2.5,5.08,13.1,1
C0056,2.9,3.3529411764705883,1,28.9,29.7,0.8,Hochschule,Hochschule,3541.0,0,0,0,0,6,4,4,4.0,5.68,13.0,1
C0057,3.2,3.1470588235294117,1,31.8,40.6,8.8,Abitur,Abitur,1399.0,0,1,0,0,6,3,3,3.0,6.72,5.93,1
C0058,3.2,3.1470588235294117,1,46.0,52.5,6.6,Abitur,Abitur,1878.0,1,1,0,0,2,3,3,3.0,6.73,15.0,0
C0059,2.8,3.3823529411764706,1,27.1,24.1,3.0,Hauptschule,Hauptschule,1400.0,1,1,1,5,3,1,1,1.0,6.21,5.15,1
C0060,2.4,3.5588235294117645,1,41.7,40.7,1.0,Hochschule,Hochschule,3465.0,0,0,0,0,5,4,4,4.0,4.44,9.04,1
C0061,2.4,3.5588235294117645,1,20.5,18.0,5.1,Hauptschule,Abitur,2155.0,1,1,1,2,5,1,3,2.0,5.33,5.96,1
C0062,2.4,3.5588235294117645,1,31.3,29.3,2.1,Realschule,Realschule,2423.0,1,1,1,4,10,2,2,2.0,4.23,15.0,0
C0063,2.4,3.5588235294117645,1,35.3,36.4,1.1,Hauptschule,Hauptschule,1713.0,0,1,1,2,6,1,1,1.0,4.46,6.75,1
C0064,2.4,3.5588235294117645,1,38.7,42.9,4.2,Hochschule,Hochschule,4430.0,0,1,0,0,3,4,4,4.0,4.19,6.24,1
C0065,3.1,3.1176470588235294,1,39.7,37.1,2.6,Realschule,Realschule,1994.0,0,0,0,0,5,2,2,2.0,5.08,3.62,1
C0066,2.65,3.323529411764706,1,40.3,38.1,2.3,Hochschule,Hochschule,3283.0,1,1,0,0,13,4,4,4.0,6.45,11.11,1
C0067,2.65,3.323529411764706,1,31.2,23.7,7.5,Abitur,Hochschule,3637.0,1,1,0,0,4,3,4,3.5,6.11,15.0,0
C0068,2.65,3.323529411764706,1,30.3,29.7,0.6,Hauptschule,Hauptschule,979.0,0,0,0,0,10,1,1,1.0,6.37,2.59,1
C0069,2.65,3.2941176470588234,1,40.9,37.1,3.7,Hauptschule,Hauptschule,2134.0,1,1,1,1,6,1,1,1.0,5.55,2.9,1
C0070,3.8,2.588235294117647,1,32.5,30.6,1.9,Hauptschule,Hauptschule,1962.0,0,0,1,3,10,1,1,1.0,8.06,15.0,0
C0071,2.65,3.264705882352941,1,23.8,20.7,3.1,Abitur,Abitur,2812.0,1,1,1,2,5,3,3,3.0,3.96,5.1,1
C0072,2.15,3.4411764705882355,1,24.9,24.6,0.3,Hochschule,Hochschule,4753.0,1,1,1,1,6,4,4,4.0,5.64,15.0,0
C0073,2.8,3.0,1,26.6,20.5,6.2,Realschule,Realschule,2027.0,0,1,0,0,8,2,2,2.0,6.1,14.33,1
C0074,2.95,2.8823529411764706,1,38.0,32.8,5.1,Hochschule,Hochschule,5036.0,0,0,1,2,6,4,4,4.0,6.77,14.05,1
C0075,2.4,3.1470588235294117,1,35.1,42.6,7.5,Hauptschule,Hauptschule,1765.0,1,1,1,1,7,1,1,1.0,5.73,15.0,0
C0076,3.55,2.3529411764705883,1,39.5,35.0,4.5,Hochschule,Hochschule,3034.0,1,1,1,3,4,4,4,4.0,6.42,7.03,1
C0077,2.8,2.3529411764705883,1,30.6,26.7,3.8,Hochschule,Hochschule,3842.0,1,1,1,1,6,4,4,4.0,5.17,4.11,1
C0078,2.3,2.6176470588235294,1,35.3,41.7,6.4,Hochschule,Abitur,2704.0,1,1,0,0,8,4,3,3.5,5.11,3.88,1
C0079,2.75,2.323529411764706,1,39.0,49.2,10.2,Abitur,Abitur,2449.0,0,1,0,0,4,3,3,3.0,7.0,6.21,1
C0080,2.4,2.5,1,31.5,27.4,4.1,Hochschule,Hochschule,4038.0,0,0,0,0,6,4,4,4.0,6.58,9.35,1
C0081,2.65,2.235294117647059,1,37.7,36.4,1.3,Hauptschule,Hauptschule,2233.0,1,1,0,0,8,1,1,1.0,5.23,0.94,1
C0082,3.2,2.9411764705882355,1,28.7,29.9,1.2,Realschule,Hochschule,2727.0,0,1,1,1,3,2,4,3.0,5.53,15.0,0
C0083,3.4,2.264705882352941,1,31.1,37.1,6.1,Hauptschule,Abitur,2992.0,1,1,0,0,6,1,3,2.0,6.57,15.0,0
C0084,2.1,2.1176470588235294,1,30.9,27.5,3.5,Abitur,Abitur,3595.0,1,1,1,5,4,3,3,3.0,5.66,13.28,1
C0085,0.1,0.17647058823529413,0,24.4,23.6,0.9,Hochschule,Hochschule,4662.0,0,1,1,2,9,4,4,4.0,4.37,15.0,0
C0086,0.0,0.3235294117647059,0,37.9,40.6,2.7,Abitur,Abitur,3218.0,1,1,0,0,3,3,3,3.0,4.08,12.96,1
C0087,0.0,0.38235294117647056,0,30.2,31.8,1.5,Hochschule,Hochschule,4618.0,0,0,0,0,7,4,4,4.0,4.57,15.0,0
C0088,0.05,0.35294117647058826,0,34.1,32.8,1.3,Realschule,Hochschule,1972.0,1,1,1,2,4,2,4,3.0,5.47,13.34,1
C0089,0.55,0.11764705882352941,0,37.8,37.4,0.5,Hochschule,Abitur,3159.0,1,1,1,2,7,4,3,3.5,5.06,15.0,0
C0090,0.0,0.4411764705882353,0,37.6,32.8,4.8,Realschule,Abitur,2130.0,1,1,0,0,9,2,3,2.5,5.15,15.0,0
C0091,0.15,0.38235294117647056,0,39.3,38.5,0.8,Realschule,Realschule,2472.0,1,1,0,0,11,2,2,2.0,6.42,15.0,0
C0092,0.0,0.5,0,33.2,32.3,0.9,Hochschule,Realschule,2757.0,1,1,1,2,5,4,2,3.0,4.03,15.0,0
C0093,0.2,0.5294117647058824,0,30.6,31.4,0.8,Hochschule,Hochschule,3700.0,1,1,0,0,7,4,4,4.0,5.2,6.3,1
C0094,0.2,0.5294117647058824,0,33.4,31.4,1.9,Abitur,Abitur,4029.0,1,1,1,3,14,3,3,3.0,6.31,15.0,0
C0095,0.05,0.6176470588235294,0,20.5,22.2,1.7,Hauptschule,Hauptschule,1798.0,1,1,0,0,5,1,1,1.0,4.78,5.77,1
C0096,0.05,0.6470588235294118,0,22.4,26.0,3.5,Abitur,Abitur,3148.0,0,1,0,0,6,3,3,3.0,4.61,4.18,1
C0097,0.4,0.4411764705882353,0,23.4,24.0,0.5,Hauptschule,Realschule,2011.0,1,1,1,1,9,1,2,1.5,6.73,15.0,0
C0098,0.0,0.6764705882352942,0,26.0,27.3,1.2,Hochschule,Hochschule,3845.0,1,1,1,1,7,4,4,4.0,4.77,8.67,1
C0099,0.15,0.5882352941176471,0,37.2,37.4,0.2,Hochschule,Realschule,3104.0,0,1,1,1,9,4,2,3.0,6.28,15.0,0
C0100,0.4,0.4411764705882353,0,26.8,26.8,0.0,Realschule,Realschule,2669.0,1,1,0,0,10,2,2,2.0,6.07,15.0,0
C0101,0.1,0.6470588235294118,0,31.0,28.4,2.5,Hauptschule,Hauptschule,2599.0,1,1,1,3,6,1,1,1.0,4.87,15.0,0
C0102,0.1,0.6470588235294118,0,44.4,45.5,1.1,Realschule,Realschule,3388.0,0,0,1,3,4,2,2,2.0,5.61,15.0,0
C0103,0.0,0.7058823529411765,0,31.1,30.8,0.3,Hochschule,Hauptschule,3036.0,1,1,1,3,6,4,1,2.5,5.31,0.85,1
C0104,0.0,0.7352941176470589,0,39.9,47.2,7.3,Abitur,Abitur,3254.0,1,1,0,0,2,3,3,3.0,5.92,3.72,1
C0105,0.25,0.5882352941176471,0,26.5,32.0,5.5,Hochschule,Hochschule,3109.0,1,1,0,0,5,4,4,4.0,4.9,2.02,1
C0106,0.2,0.6470588235294118,0,32.4,33.7,1.4,Abitur,Hochschule,3297.0,1,1,1,1,6,3,4,3.5,5.32,5.41,1
C0107,0.0,0.7941176470588235,0,26.4,23.7,2.7,Abitur,Hochschule,3914.0,1,1,0,0,5,3,4,3.5,4.89,15.0,0
C0108,0.1,0.7352941176470589,0,31.3,27.4,3.9,Hauptschule,Realschule,2670.0,1,1,1,3,9,1,2,1.5,5.74,8.76,1
C0109,0.45,0.5588235294117647,0,40.7,44.9,4.2,Hochschule,Hochschule,3927.0,0,1,0,0,4,4,4,4.0,4.71,10.07,1
C0110,0.1,0.7941176470588235,0,20.2,21.1,0.9,Realschule,Realschule,2932.0,1,1,1,1,8,2,2,2.0,5.97,10.88,1
C0111,0.1,0.7941176470588235,0,37.5,39.2,1.7,Abitur,Abitur,3194.0,1,1,1,2,6,3,3,3.0,5.47,15.0,0
C0112,0.45,0.5882352941176471,0,35.9,29.8,6.1,Abitur,Abitur,3620.0,1,1,1,2,5,3,3,3.0,4.42,15.0,0
C0113,0.15,0.7647058823529411,0,29.2,32.5,3.2,Abitur,Abitur,3074.0,1,1,1,5,10,3,3,3.0,6.22,15.0,0
C0114,0.5,0.5588235294117647,0,22.4,24.0,1.6,Hochschule,Realschule,2887.0,0,1,0,0,6,4,2,3.0,7.69,9.61,1
C0115,0.45,0.6176470588235294,0,34.6,30.7,3.9,Hauptschule,Abitur,2602.0,1,1,1,1,4,1,3,2.0,6.48,13.46,1
C0116,0.15,0.7941176470588235,0,29.8,28.1,1.7,Abitur,Hochschule,1592.0,0,0,1,5,3,3,4,3.5,6.39,13.55,1
C0117,0.25,0.7352941176470589,0,35.9,36.8,0.9,Realschule,Hauptschule,2380.0,0,1,1,2,4,2,1,1.5,5.34,14.59,1
C0118,0.25,0.7352941176470589,0,34.2,34.4,0.2,Abitur,Hauptschule,800.0,1,1,0,0,8,3,1,2.0,3.77,1.1,1
C0119,0.25,0.7352941176470589,0,46.8,45.8,1.0,Hauptschule,Hauptschule,866.0,0,1,1,1,9,1,1,1.0,3.6,9.34,1
C0120,0.35,0.6764705882352942,0,32.1,31.7,0.4,Hauptschule,Hauptschule,2171.0,0,0,1,2,5,1,1,1.0,5.65,11.23,1
C0121,0.3,0.7058823529411765,0,25.8,24.9,0.9,Realschule,Realschule,2687.0,0,1,1,2,3,2,2,2.0,4.81,8.1,1
C0122,0.5,0.5882352941176471,0,35.4,36.0,0.5,Realschule,Hochschule,2403.0,1,1,0,0,10,2,4,3.0,4.83,15.0,0
C0123,0.15,0.8235294117647058,0,35.8,40.9,5.2,Realschule,Realschule,1973.0,1,1,1,1,5,2,2,2.0,5.02,8.67,1
C0124,0.2,0.7941176470588235,0,44.9,35.9,9.0,Abitur,Abitur,3722.0,0,1,1,2,4,3,3,3.0,5.71,9.27,1
C0125,0.3,0.7352941176470589,0,40.7,39.9,0.8,Abitur,Abitur,2610.0,1,1,1,2,3,3,3,3.0,4.01,4.37,1
C0126,0.0,0.9117647058823529,0,36.9,37.5,0.6,Realschule,Realschule,3746.0,1,1,0,0,4,2,2,2.0,4.44,2.3,1
C0127,0.0,0.9117647058823529,0,45.7,46.7,1.0,Realschule,Realschule,2399.0,0,1,0,0,0,2,2,2.0,6.2,1.16,1
C0128,0.0,0.9117647058823529,0,24.5,23.2,1.3,Realschule,Abitur,2895.0,0,1,1,1,4,2,3,2.5,3.87,6.01,1
C0129,0.0,0.9411764705882353,0,28.9,22.7,6.1,Abitur,Realschule,3620.0,1,1,1,1,3,3,2,2.5,5.6,11.41,1
C0130,0.1,0.8823529411764706,0,26.6,27.7,1.1,Realschule,Realschule,2479.0,1,1,1,1,6,2,2,2.0,4.54,7.82,1
C0131,0.15,0.8529411764705882,0,30.9,36.9,6.0,Hauptschule,Hochschule,2249.0,1,1,1,1,8,1,4,2.5,5.54,5.36,1
C0132,0.15,0.8529411764705882,0,23.0,18.0,5.4,Realschule,Realschule,2334.0,1,1,0,0,6,2,2,2.0,6.04,9.26,1
C0133,0.55,0.6176470588235294,0,39.1,42.1,3.0,Abitur,Abitur,2879.0,0,0,1,1,6,3,3,3.0,6.35,9.32,1
C0134,0.25,0.7941176470588235,0,32.2,31.1,1.1,Realschule,Realschule,1581.0,1,1,0,0,3,2,2,2.0,6.03,5.56,1
C0135,0.35,0.7352941176470589,0,22.2,22.0,0.2,Abitur,Abitur,2747.0,1,1,0,0,6,3,3,3.0,4.33,8.55,1
C0136,0.0,0.9411764705882353,0,25.9,22.2,3.7,Abitur,Abitur,2455.0,0,1,1,2,7,3,3,3.0,5.82,6.22,1
C0137,0.25,0.8235294117647058,0,36.5,35.3,1.2,Hochschule,Hochschule,4355.0,1,1,1,1,3,4,4,4.0,4.41,15.0,0
C0138,0.2,0.8529411764705882,0,40.7,45.3,4.6,Abitur,Abitur,2921.0,1,1,1,4,8,3,3,3.0,5.34,15.0,0
C0139,0.2,0.8529411764705882,0,50.0,52.0,2.0,Abitur,Abitur,2730.0,1,1,0,0,6,3,3,3.0,5.34,10.74,1
C0140,0.45,0.7058823529411765,0,57.3,63.4,6.1,Realschule,Realschule,2336.0,1,1,0,0,7,2,2,2.0,5.93,15.0,0
C0141,0.15,0.8823529411764706,0,37.3,41.4,4.1,Hochschule,Hochschule,3934.0,1,1,1,2,6,4,4,4.0,5.33,6.07,1
C0142,0.6,0.6176470588235294,0,26.1,27.6,1.5,Abitur,Abitur,3270.0,0,1,0,0,9,3,3,3.0,4.97,12.26,1
C0143,0.75,0.5294117647058824,0,18.0,24.1,6.1,Realschule,Hochschule,2500.0,0,0,0,0,3,2,4,3.0,4.76,11.6,1
C0144,0.5,0.7058823529411765,0,36.1,37.7,1.5,Abitur,Hochschule,2725.0,1,1,0,0,8,3,4,3.5,6.34,10.1,1
C0145,0.5,0.7058823529411765,0,27.5,30.4,2.9,Realschule,Realschule,3063.0,0,1,1,1,6,2,2,2.0,5.72,8.34,1
C0146,0.0,1.0,0,30.7,29.6,1.0,Abitur,Abitur,2653.0,0,0,1,1,5,3,3,3.0,5.8,4.99,1
C0147,0.45,0.7352941176470589,0,29.1,29.3,0.2,Hochschule,Hochschule,2950.0,0,0,1,1,8,4,4,4.0,5.43,15.0,0
C0148,0.1,0.9411764705882353,0,32.9,30.4,2.4,Hochschule,Hochschule,4066.0,0,1,1,2,6,4,4,4.0,3.65,3.32,1
C0149,0.2,0.9117647058823529,0,42.5,46.0,3.5,Hochschule,Abitur,3628.0,1,1,0,0,6,4,3,3.5,5.92,15.0,0
C0150,0.1,1.0,0,35.3,31.1,4.1,Abitur,Realschule,1732.0,1,1,0,0,5,3,2,2.5,4.53,5.72,1
C0151,0.25,0.9117647058823529,0,32.7,35.5,2.7,Abitur,Abitur,3038.0,1,1,1,5,11,3,3,3.0,5.41,15.0,0
C0152,0.7,0.6470588235294118,0,25.7,25.0,0.7,Hochschule,Hochschule,4241.0,0,1,0,0,7,4,4,4.0,5.23,13.09,1
C0153,0.45,0.7941176470588235,0,20.6,24.7,4.1,Realschule,Realschule,2625.0,1,1,0,0,6,2,2,2.0,6.9,9.65,1
C0154,0.95,0.5,0,30.1,32.7,2.6,Hochschule,Hochschule,4179.0,1,1,0,0,5,4,4,4.0,5.42,15.0,0
C0155,0.5,0.7647058823529411,0,33.6,39.9,6.4,Abitur,Abitur,2057.0,1,1,0,0,10,3,3,3.0,5.19,13.97,1
C0156,0.6,0.7058823529411765,0,48.1,50.7,2.6,Hauptschule,Hauptschule,2099.0,1,1,1,3,12,1,1,1.0,5.75,12.19,1
C0157,0.5,0.7647058823529411,0,35.0,29.5,5.5,Hauptschule,Hauptschule,1718.0,1,1,1,1,2,1,1,1.0,4.52,4.39,1
C0158,0.3,0.9117647058823529,0,41.9,41.6,0.2,Hochschule,Hochschule,3510.0,1,1,0,0,8,4,4,4.0,5.45,15.0,0
C0159,0.4,0.8529411764705882,0,30.0,25.9,4.1,Hauptschule,Hauptschule,2422.0,0,1,1,2,7,1,1,1.0,6.76,1.88,1
C0160,0.25,0.9411764705882353,0,24.5,22.7,1.8,Realschule,Realschule,3288.0,0,0,1,3,5,2,2,2.0,4.64,4.76,1
C0161,0.5,0.7941176470588235,0,26.3,31.6,5.3,Realschule,Realschule,3477.0,1,1,1,2,4,2,2,2.0,5.83,0.8,1
C0162,1.1,0.4411764705882353,0,28.2,30.4,2.2,Realschule,Realschule,3189.0,0,0,1,2,6,2,2,2.0,3.94,1.17,1
C0163,0.1,1.0294117647058822,0,51.0,48.6,2.4,Realschule,Realschule,2334.0,1,1,0,0,4,2,2,2.0,4.81,1.66,1
C0164,0.6,0.7352941176470589,0,27.4,23.9,3.5,Hochschule,Hochschule,4012.0,1,1,1,2,5,4,4,4.0,5.35,10.93,1
C0165,0.6,0.7352941176470589,0,40.7,40.8,0.1,Hauptschule,Realschule,2610.0,1,1,0,0,6,1,2,1.5,4.89,10.98,1
C0166,0.0,1.1176470588235294,0,26.8,22.5,4.3,Hochschule,Hochschule,3873.0,1,1,0,0,4,4,4,4.0,5.63,15.0,0
C0167,0.0,1.1176470588235294,0,41.5,39.1,2.3,Hochschule,Hochschule,3878.0,1,1,0,0,3,4,4,4.0,4.36,7.47,1
C0168,0.35,0.9117647058823529,0,37.1,38.2,1.1,Realschule,Hochschule,3594.0,0,1,1,2,7,2,4,3.0,5.05,7.56,1
C0169,0.05,1.1176470588235294,0,32.7,36.8,4.0,Realschule,Realschule,2364.0,0,0,0,0,7,2,2,2.0,4.37,4.36,1
C0170,0.25,1.0,0,33.7,35.8,2.1,Abitur,Abitur,2462.0,1,1,0,0,2,3,3,3.0,3.3,1.69,1
